WebLeads - https://webleads.site;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Address;House Number;Road;Postcode;City;Country;Phone;Website;Decision Makers & Emails;Role Emails;Other Emails;Facebook;Instagram;TikTok;YouTube;Yelp;Twitter / X;LinkedIn;Pinterest;Other;Reviews;Rating;Missing Marketing Signals;Introduction;Book Visit;Menu;Temporary Closed;Average Money Spent;LGBTQ Friendly;Main Industry;Industries
1DIGITAL AGENCY;20 N 3rd St #301, Philadelphia, PA 19106, United States;20;n 3rd st;19106;philadelphia;united states;+1 215-809-1567;https://www.1digitalagency.com/search-engine-optimization/;Dan Kogan (ceo) dan@1digitalagency.com, Colette Nichols (chief operating officer) cnichols@1digitalagency.com, Ai Seo (cro), Michael Prusich (senior director) michael@1digitalagency.com, Joe Chilson (assistant director) jchilson@1digitalagency.com, Matthew Lovett (director) mlovett@1digitalagency.com, Ai Seo (agent);info@1digitalagency.com, sales@1digitalagency.com;rfp@1digitalagency.com;https://www.facebook.com/1digitalagency\;https://www.instagram.com/1digitalagency/;;https://www.youtube.com/c/1digitalagency\;;https://www.x.com/1digitalagency\;https://www.linkedin.com/company/1digitalagency-com\;;;85;5.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
1MDE;2929 Arch St Suite 1700, Philadelphia, PA 19104, United States;2929;arch st;19104;philadelphia;united states;+1 215-330-6484;https://1mde.com/;James Hurt (ceo), John Stock (marketing director), Ann Child (brand manager);info@1mde.com;;https://www.facebook.com/1mdeusa;;;;;;https://www.linkedin.com/company/1mde;;;19;5.0;;;;;No;None;No;Marketing agency;Marketing agency
215 Marketing;1516 N 5th St # 309, Philadelphia, PA 19122, United States;1516;n 5th st;19122;philadelphia;united states;+1 267-319-1191;https://calendly.com/jon215/meeting-w-jon-vogel;Jon Vogel (Co Owner), Garrett Gillin (Co Owner), Mark Siracusa (Operations Director);;;;;;;;;;;;53;5.0;;;calendly.com;;No;None;No;Marketing agency;Marketing agency
624 Agency;1639 N Hancock St Suite 304, Philadelphia, PA 19122, United States;1639;n hancock st;19122;philadelphia;united states;;http://624agency.com/;Lauren Moreno (principal) lmoreno@624agency.com, Logan Beck (director) lbeck@624agency.com, Brayden Tinney (social media manager) btinney@624agency.com, Morgan Ryan (coordinator) mryan@624agency.com;hello@624agency.com;;https://www.facebook.com/squarespace;https://www.instagram.com/624agency/;;;;https://www.twitter.com/squarespace;;;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
Armor;123 S Broad St Suite 2435, Philadelphia, PA 19109, United States;123;s broad st;19109;philadelphia;united states;;https://armor.studio/;Mike Bodenberger (partner) mbodenberger@armor.studio, Mike Bray (partner) mbray@armor.studio, Dan Hughes (partner) dhughes@armor.studio, Chris Reif (partner) creif@armor.studio;hello@armor.studio;;;https://www.instagram.com/armor__studio/;;;;;https://www.linkedin.com/company/armor-studio;;;0;0.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
AYS Sports Marketing Inc;441 N 5th St # 203, Philadelphia, PA 19123, United States;441;n 5th st;19123;philadelphia;united states;+1 215-925-7875;https://www.aysworld.com/;Penny Lerner (ceo) penny@aysworld.com, Judi Lerner (president) judi@aysworld.com, Brian Hester (vice president) brian@aysworld.com, Morgan Bernstein (operations manager) morgan.bernstein@aysworld.com, Victor Rivera (multimedia content manager) victor.rivera@aysworld.com, Jordan Mcginnis (coordinator) jordan.mcginnis@aysworld.com;info@aysworld.com;;;https://www.instagram.com/ayssports/;;;;;https://www.linkedin.com/company/ays;;;3;4.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;No;Marketing agency;Marketing agency
BCC Interactive;744 South St Suite #969, Philadelphia, PA 19147, United States;744;south st;19147;philadelphia;united states;+1 610-590-9957;https://www.bccinteractive.com/?y_source=1_MTY0NDgxOTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D;Cory Young (ceo) cory@bccinteractive.com, Michelle Khan (coo) michelle@bccinteractive.com, Angelina Kaliada (marketing manager) angelina@bccinteractive.com;;;https://www.facebook.com/bccinteractive;https://www.instagram.com/bccinteractive/;;https://www.youtube.com/channel/UCUo-gnEkyiW2z9lylpl17Gw;https://www.yelp.com/biz/bcc-interactive-philadelphia;https://www.twitter.com/bccinteractive1;https://www.linkedin.com/in/stevesilvasy;;;14;5.0;meta_pixel, google_ads, tiktok_pixel, +1 more;;;;No;None;Yes;Marketing agency;Marketing agency
BLOOM Digital Marketing;1820 Fitzwater St First Floor, Philadelphia, PA 19146, United States;1820;fitzwater st;19146;philadelphia;united states;+1 857-242-6080;http://inbloomdigitalmarketing.com/;Ana Cvetkovic (ceo) ana@inbloomdigitalmarketing.com, Erika Ferrin (marketing manager), Chris De Jong (keep moving chris de jong director);;;https://www.facebook.com/inbloomdigitalmarketing;;;;;;https://www.linkedin.com/company/bloom-digital-marketing-inc;;;0;0.0;;;;;No;None;No;Marketing agency;Marketing agency
Bow Tie Social;2424 E York St Unit 301-F, Philadelphia, PA 19125, United States;2424;e york st;19125;philadelphia;united states;+1 215-436-8441;https://www.bowtie.social/;Marlene Felisberto (CEO), Stephen Cassano (ceo) stephen@bowtie.social, Travis Humphreys (COO), Mae Sweetland (social media manager) mae@bowtie.social, Brooke Richie (manager) brooke@bowtie.social, Devin O'Connell (lead) devin@bowtie.social;;;;https://www.instagram.com/bowtie_social/;;;;;https://www.linkedin.com/company/bow-tie-social;;;5;5.0;google_ads, tiktok_pixel, linkedin_insight;;;;No;None;Yes;Marketing agency;Marketing agency
Brolik;990 Spring Garden St Suite 402, Philadelphia, PA 19123, United States;990;spring garden st;19123;philadelphia;united states;+1 267-774-2557;https://brolik.com/;Jason Brewer (ceo), Jessie Wood (founder), Matthew Sommer (cso), Andrew Faulkner (marketing manager), Nick Capperella (marketing manager), Jerry Cavill (a website designer and project manager), Bri O'Donnell (marketing specialist);info@brolik.com;;https://www.facebook.com/brolikagency;https://www.instagram.com/webrolik/;;;;https://www.twitter.com/brolik;https://www.linkedin.com/in/jessiewould;;;46;4.9;;;;;No;None;No;Marketing agency;Marketing agency
